"tip","ass_bid","ass_tid"
"cnt","2","6"
"cnt","2","5"
"cnt","3","14"
"cnt","3","13"
"obj","4","773"
"obj","4","485"
"cnt","5","13"
"cnt","5","11"
"cnt","6","6"
"cnt","6","11"
"cnt","6","13"
"cnt","7","5"
"cnt","7","6"
"cnt","7","11"
"cnt","7","13"
"cnt","7","14"
"cnt","8","14"
"cnt","8","13"
"cnt","8","11"
"cnt","8","6"
"cnt","8","5"
"cnt","9","6"
"cnt","9","11"
"cnt","9","13"
"cnt","9","14"
"cnt","10","6"
"cnt","10","14"
"cnt","10","13"
"cnt","10","11"
"cnt","11","14"
"cnt","11","13"
"cnt","11","11"
"cnt","11","6"
"cnt","11","5"
"cnt","13","5"
"cnt","13","6"
"cnt","13","11"
"cnt","13","13"
"cnt","13","14"
"cnt","14","14"
"cnt","14","13"
"cnt","14","11"
"cnt","14","6"
"cnt","14","5"
"cnt","15","14"
"cnt","15","13"
"cnt","15","11"
"cnt","15","6"
"cnt","15","5"
"cnt","16","13"
"cnt","16","14"
"cnt","16","6"
"cnt","16","11"
"cnt","17","14"
"cnt","17","13"
"cnt","17","11"
"cnt","17","6"
"cnt","17","5"
"obj","17","16"
"obj","4","920"
"obj","4","583"
"obj","4","1075"
"cnt","2","11"
"cnt","2","14"
"cnt","2","13"
"cnt","3","6"
"cnt","3","5"
"cnt","3","11"
"obj","16","19"
"cnt","5","5"
"cnt","5","6"
"obj","5","29"
"cnt","6","14"
"obj","9","3"
"cnt","18","6"
"cnt","18","14"
"cnt","18","13"
"cnt","18","11"
"cnt","19","14"
"cnt","19","13"
"cnt","19","11"
"cnt","19","6"
"cnt","19","5"
"obj","19","17"
"obj","19","16"
"cnt","20","6"
"cnt","20","14"
"cnt","20","13"
"cnt","20","11"
"cnt","21","6"
"cnt","21","14"
"cnt","21","13"
"cnt","21","11"
"cnt","22","6"
"cnt","22","11"
"cnt","22","13"
"cnt","22","14"
"cnt","23","6"
"cnt","23","11"
"cnt","23","13"
"cnt","23","14"
"cnt","24","14"
"cnt","24","13"
"cnt","24","11"
"cnt","24","6"
"cnt","25","6"
"cnt","25","11"
"cnt","25","13"
"cnt","25","14"
"cnt","26","14"
"cnt","26","11"
"cnt","26","13"
"cnt","27","11"
"cnt","27","13"
"cnt","27","14"
"obj","27","26"
"cnt","116","5"
"cnt","28","11"
"cnt","28","13"
"cnt","29","6"
"cnt","29","14"
"cnt","29","13"
"cnt","29","11"
"obj","29","5"
"cnt","30","6"
"cnt","30","14"
"cnt","30","13"
"cnt","30","11"
"cnt","31","6"
"cnt","31","14"
"cnt","31","13"
"cnt","31","11"
"cnt","1806","6"
"cnt","1804","6"
"cnt","1803","13"
"cnt","33","14"
"cnt","33","13"
"cnt","33","11"
"cnt","33","6"
"cnt","34","5"
"cnt","34","14"
"cnt","34","13"
"cnt","34","12"
"cnt","34","11"
"cnt","34","6"
"cnt","35","14"
"cnt","35","13"
"cnt","35","11"
"cnt","35","6"
"cnt","36","11"
"cnt","36","6"
"cnt","36","13"
"cnt","36","14"
"cnt","36","5"
"cnt","37","14"
"cnt","37","5"
"cnt","37","6"
"cnt","37","11"
"cnt","37","12"
"cnt","37","13"
"cnt","38","14"
"cnt","38","13"
"cnt","38","12"
"cnt","38","11"
"cnt","38","6"
"cnt","38","5"
"obj","38","37"
"obj","37","38"
"cnt","39","6"
"cnt","39","11"
"cnt","39","13"
"cnt","39","14"
"cnt","40","14"
"cnt","40","13"
"cnt","40","12"
"cnt","40","11"
"cnt","40","6"
"cnt","41","6"
"cnt","41","11"
"cnt","41","12"
"cnt","41","13"
"cnt","41","14"
"cnt","42","14"
"cnt","42","13"
"cnt","42","12"
"cnt","42","11"
"cnt","42","6"
"cnt","43","6"
"cnt","43","11"
"cnt","43","13"
"cnt","43","14"
"cnt","43","12"
"cnt","44","6"
"cnt","44","11"
"cnt","44","12"
"cnt","44","13"
"cnt","44","14"
"obj","3","9"
"obj","16","17"
"obj","26","27"
"cnt","5","14"
"obj","20","21"
"cnt","45","14"
"cnt","45","13"
"cnt","45","11"
"cnt","45","6"
"cnt","46","6"
"cnt","46","11"
"cnt","46","13"
"cnt","46","14"
"cnt","47","6"
"cnt","47","11"
"cnt","47","14"
"cnt","47","13"
"cnt","48","6"
"cnt","48","11"
"cnt","48","13"
"cnt","48","14"
"cnt","49","13"
"cnt","49","6"
"cnt","49","11"
"cnt","49","14"
"obj","49","20"
"obj","49","21"
"obj","49","22"
"obj","50","4"
"cnt","50","11"
"cnt","50","13"
"cnt","50","6"
"cnt","51","13"
"cnt","51","11"
"cnt","51","6"
"cnt","52","14"
"cnt","52","6"
"cnt","52","11"
"cnt","52","13"
"cnt","53","14"
"cnt","53","13"
"obj","53","266"
"cnt","54","11"
"cnt","54","13"
"obj","54","575"
"obj","54","576"
"cnt","55","13"
"cnt","55","11"
"cnt","55","6"
"cnt","56","14"
"cnt","56","6"
"cnt","56","11"
"cnt","56","13"
"cnt","57","13"
"cnt","57","11"
"cnt","57","6"
"cnt","57","14"
"cnt","58","13"
"cnt","58","11"
"cnt","58","6"
"cnt","58","14"
"cnt","59","14"
"cnt","59","6"
"cnt","59","11"
"cnt","59","13"
"cnt","60","14"
"cnt","60","6"
"cnt","60","11"
"cnt","60","13"
"cnt","61","11"
"cnt","61","13"
"cnt","61","14"
"cnt","61","6"
"cnt","62","5"
"cnt","62","6"
"cnt","62","11"
"cnt","62","12"
"cnt","62","13"
"cnt","62","14"
"cnt","63","14"
"cnt","63","13"
"cnt","63","12"
"cnt","63","11"
"cnt","63","6"
"cnt","63","5"
"cnt","64","14"
"cnt","64","13"
"cnt","64","12"
"cnt","64","11"
"cnt","64","6"
"cnt","64","5"
"cnt","65","13"
"cnt","65","6"
"cnt","65","11"
"cnt","66","13"
"cnt","66","11"
"cnt","66","14"
"cnt","66","6"
"cnt","67","13"
"cnt","67","11"
"cnt","67","6"
"obj","67","65"
"cnt","68","13"
"cnt","68","14"
"cnt","68","12"
"obj","65","67"
"cnt","69","13"
"cnt","69","11"
"cnt","69","6"
"cnt","69","5"
"cnt","69","14"
"cnt","70","14"
"cnt","70","13"
"cnt","70","11"
"cnt","70","6"
"cnt","70","5"
"obj","70","69"
"obj","69","70"
"cnt","72","27"
"cnt","72","26"
"cnt","72","12"
"cnt","72","5"
"cnt","72","6"
"cnt","73","6"
"cnt","73","11"
"cnt","73","14"
"cnt","73","12"
"cnt","73","13"
"cnt","74","14"
"cnt","74","13"
"cnt","74","11"
"cnt","74","6"
"cnt","74","5"
"obj","75","69"
"obj","75","564"
"obj","75","485"
"obj","75","1060"
"obj","75","877"
"cnt","76","14"
"obj","76","106"
"obj","76","107"
"obj","76","1060"
"obj","76","485"
"cnt","77","14"
"cnt","77","13"
"cnt","77","11"
"cnt","77","6"
"cnt","77","5"
"cnt","78","13"
"cnt","78","11"
"cnt","78","6"
"cnt","78","14"
"obj","78","3"
"obj","78","9"
"cnt","79","14"
"cnt","79","13"
"cnt","79","11"
"cnt","79","6"
"cnt","79","5"
"cnt","80","14"
"cnt","80","13"
"cnt","80","11"
"cnt","80","6"
"cnt","80","5"
"cnt","81","14"
"cnt","81","5"
"cnt","81","13"
"cnt","81","11"
"cnt","82","5"
"cnt","82","6"
"cnt","82","11"
"cnt","82","13"
"cnt","82","14"
"cnt","83","5"
"cnt","83","6"
"cnt","83","11"
"cnt","83","13"
"cnt","83","14"
"cnt","84","11"
"cnt","84","6"
"cnt","84","14"
"cnt","84","13"
"obj","85","84"
"cnt","85","13"
"cnt","85","14"
"cnt","85","11"
"cnt","85","6"
"cnt","86","6"
"cnt","86","13"
"cnt","86","14"
"cnt","86","11"
"cnt","87","6"
"cnt","87","13"
"cnt","87","14"
"cnt","87","12"
"cnt","87","11"
"cnt","88","14"
"cnt","88","13"
"cnt","88","6"
"cnt","88","11"
"cnt","89","14"
"cnt","89","13"
"cnt","89","11"
"cnt","89","6"
"cnt","90","14"
"cnt","90","13"
"cnt","90","6"
"cnt","90","5"
"cnt","91","14"
"cnt","91","13"
"cnt","91","11"
"cnt","91","6"
"cnt","92","11"
"cnt","92","13"
"cnt","92","6"
"cnt","92","14"
"cnt","93","6"
"cnt","93","11"
"cnt","93","13"
"cnt","94","13"
"cnt","94","11"
"cnt","94","6"
"cnt","95","5"
"cnt","95","6"
"cnt","95","11"
"cnt","95","13"
"cnt","95","14"
"obj","96","40"
"obj","96","42"
"cnt","96","6"
"cnt","96","11"
"cnt","96","13"
"cnt","97","11"
"cnt","97","12"
"cnt","97","14"
"cnt","97","5"
"cnt","97","6"
"cnt","97","13"
"obj","97","88"
"obj","98","97"
"cnt","98","11"
"cnt","98","13"
"cnt","98","6"
"cnt","98","12"
"cnt","98","14"
"cnt","99","11"
"cnt","99","13"
"cnt","99","5"
"cnt","99","6"
"cnt","100","13"
"cnt","100","11"
"cnt","100","5"
"cnt","100","6"
"cnt","100","14"
"cnt","101","13"
"cnt","101","14"
"cnt","101","11"
"cnt","101","6"
"cnt","101","5"
"cnt","102","14"
